Department,Search Term,Search Frequency Rank,#1 Clicked ASIN,#1 Product Title,#1 Click Share,#1 Conversion Share,#2 Clicked ASIN,#2 Product Title,#2 Click Share,#2 Conversion Share,#3 Clicked ASIN,#3 Product Title,#3 Click Share,#3 Conversion Share
Amazon.com,iphone 13 pro max case,1,B09VNTV3VS,"Phone Cases for iPhone 13 Pro Max - Honeycomb Case with Embedded Finger Ring - Shockproof Phone Cases with 360° Rotating Ring Stand - Screen Protector Included - Works with Magnetic Car Holder, Red",5.80%,0.01%,B09VNKN2ZK,"Phone Cases for iPhone 13 Pro Max - Honeycomb Case with Embedded Finger Ring - Shockproof Phone Cases with 360° Rotating Ring Stand - Screen Protector Included - Works with Magnetic Car Holder, Black",3.97%,0.01%,B096J9ZSG1,Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,3.77%,6.49%
Amazon.com,iphone 13 case,2,B0B5DFVT8L,"QHOHQ [5 in 1] Designed for iPhone 13 Case, with 2 Pack Screen Protector ＆ 2 Pack Camera Lens Protector, Slim Liquid Silicone Shockproof Phone Case,[Soft Anti-Scratch Microfiber Lining] 6.1 Inch, Teal",22.97%,0.08%,B0B5DCL261,"QHOHQ [5 in 1] for iPhone 13 Case, with 2 Pack Screen Protector ＆ 2 Pack Camera Lens Protector, Slim Liquid Silicone Shockproof Phone Case, [Soft Anti-Scratch Microfiber Lining] 6.1 Inch, Navy Blue",22.12%,0.01%,B0B5DG3LJC,"QHOHQ [5 in 1] Designed for iPhone 13 Case, with 2 Pack Screen Protector ＆ 2 Pack Camera Lens Protector,Slim Liquid Silicone Shockproof Phone Case,[Soft Anti-Scratch Microfiber Lining] 6.1 Inch, Black",6.52%,0.00%
Amazon.com,dresses for women 2022,3,B0B5DPRFJ1,Women's Casual Cocktail Dresses Summer Hem Floral Short Sleeve Loose Casual Dress Short Casual Dress Dresses,1.03%,0.38%,B07VDXHYVN,Relipop Women's Dress Spaghetti Strap Waist Tie Knot Wrap Front Ruffle Hem Short Dress,1.02%,0.32%,B0B42X25DG,"Women's Dress with Shorts Underneath Short Clothing Cotton Tank Dress Summer Casual Outfits Sleeves Trending, S-2XL",0.85%,0.32%
Amazon.com,backpack,4,B06XZTZ7GB,"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",8.94%,14.53%,B075SZQN9Q,"Tzowla Travel Laptop Backpack Water Resistant Anti-Theft Bag with USB Charging Port and Lock 15.6 Inch Computer Business Backpacks for Women Men College School Student Gift,Bookbag Casual Daypack",4.41%,5.02%,B0823VFB4C,"JanSport Cross Town Backpack - School, Travel, or Work Bookbag with Water Bottle Pocket, Black",3.44%,1.59%
Amazon.com,apple watch band,5,B09KNCDSWN,"6 Pack Sport Bands Compatible with Apple Watch Band 38mm 40mm 41mm 42mm 44mm 45mm,Soft Silicone Waterproof Strap Wristbands Compatible with iWatch Apple Watch Series 7 6 5 4 3 2 1 SE Women Men",8.39%,11.10%,B09TNKY6HP,"6 Pack Bands Compatible with Apple Watch Band 38mm 40mm 41mm 42mm 44mm 45mm Women Men, Soft Silicone Sport Strap for iWatch Series 7 6 5 4 3 SE White/PinkSand/LightGreen/LightBlue/Lavender/Starlight",4.52%,5.29%,B09V5N5SPY,"Marge Plus for Apple Watch Band Series 7 6 5 4 3 2 1 SE 38mm 40mm 41mm 42mm 44mm 45mm Women and Men, Stainless Steel Mesh Loop Magnetic Clasp Replacement for iWatch Bands (41mm/40mm/38mm, A--Starlight).",4.50%,5.43%
Amazon.com,desk,6,B00OR1KPL2,"Furinno Simplistic A Frame Computer Desk, Black/French Oak Grey",5.99%,8.08%,B08FHRWY3W,"LUFEIYA Small Computer Desk Study Table for Small Spaces Home Office 31 Inch Rustic Student Laptop PC Writing Desks with Storage Bag Headphone Hook,Brown",4.54%,4.73%,B008V8A8CS,"Sauder Beginnings Desk, Cinnamon Cherry finish",3.42%,2.71%
Amazon.com,water bottles,7,B09S5DN4GP,Pogo BPA-Free Plastic Water Bottle with Chug Lid,5.13%,7.52%,B09CKP6TGQ,"Water Bottles, 32oz Water Bottles with Times to Drink, BPA Free Tritan Water Jug, Leakproof Water Bottle with Straw and Safety Lock, Motivational Water Bottle Ensure You Drink Enough Water Every Day",4.12%,3.80%,B07N2F3JXP,"Iron Flask Sports Water Bottle - 40 Oz, 3 Lids (Straw Lid), Leak Proof, Vacuum Insulated Stainless Steel, Double Walled, Thermo Mug, Metal Canteen",3.90%,4.56%
Amazon.com,my orders,8,B07DWXMJFP,Women's Floral Print Puff Sleeve Kimono Cardigan Loose Cover Up Casual Blouse Tops,5.60%,10.39%,B0B3J934S3,Stretch Bra Bra Yoga Women's Underwear Sports Hollow Size Out Plus Womens Front Closure Bras,3.89%,2.17%,B07DJTH1YP,Moss Rose Women Boho Print Kimono Cardigan Loose Cover Up Casual Blouse Tops,2.94%,1.93%
Amazon.com,shower curtain,9,B07RGQQ3LG,"AmazerBath Waffle Shower Curtain, Heavy Duty Fabric Shower Curtains with Waffle Weave Hotel Quality Bathroom Shower Curtains, 72 x 72 Inches",5.67%,7.55%,B08BZFRQLS,"Waterproof Fabric Shower Curtain Liner with 3 Magnets - Soft & Light-Weight Cloth Shower Liner, Hotel Quality & Machine Washable - Standard Size 72x72, White",5.39%,8.96%,B09V2JVZPN,"Shower Curtain, Fabric Shower Curtain Lined Floral White Shower Curtain - 72 W x 72 L with 12 Hooks for Home Hotel Machine Wash Curtains Waterproof Bathroom Shower Curtain",4.92%,3.74%
Amazon.com,iphone 11 case,10,B07W45LYY8,OTTERBOX COMMUTER SERIES Case for iPhone 11 - BLACK,4.47%,4.54%,B091T37BN9,"Cordking iPhone 11 Case, Silicone Ultra Slim Shockproof Phone Case with [Soft Anti-Scratch Microfiber Lining], 6.1 inch, Midnight Green",4.29%,5.81%,B0B2J6GHM3,"Supfine [5 in 1] iPhone 11 Case, [10 FT Military Dropproof] [2+Tempered Glass Screen, 2+Tempered Camera Lens Protector] Non-Slip Heavy Duty Full-Body Shockproof Phone Case, Black",4.16%,4.57%
Amazon.com,halloween decorations,11,B097BTSC5Z,Halloween Decor - Halloween Party Decorations - Set of 3 Witches Cauldron Serving Bowls on Rack - Black Plastic Hocus Pocus Candy Bucket Cauldron for Indoor Outdoor Home Kitchen Decoration,3.75%,2.11%,B07TRCJJS3,"Coogam 60PCS Halloween 3D Bats Decoration, 4 Different Sizes Realistic PVC Scary Black Bat Sticker for Home Decor DIY Wall Decal Bathroom Indoor Hallowmas Party Supplies",3.16%,3.85%,B0969RF6LR,Halloween Decorations Outdoor 295'' Halloween Spider Web Decor 59'' Scary Giant Spider 100 Small Fake Spiders 40 g Stretch Cobwebs Spider Webs Halloween Decorations for Outside Yard Garden Lawn Party,2.60%,3.33%
Amazon.com,laptop,12,B0B3L3YB4N,"2022 Acer 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",9.25%,12.27%,B08B6F1NNR,"2022 Newest Lenovo Ideapad 3 Laptop, 15.6 HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",8.11%,8.27%,B09VRX9YVW,"Newest HP 14 HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",7.49%,8.09%
Amazon.com,womens tops,13,B08XBC5PSR,Dokotoo Women's Casual Boho Floral Printed V Neck Tops Drawstring Short Long Sleeve T Shirt Blouses,1.24%,0.68%,B08XX273JK,Mansy Women's Casual Floral Print V Neck Ruffle Short Sleeve Summer Shirts Tops Loose Blouses,1.08%,0.74%,B092DGSFJ5,NANYUAYA Womens Summer Tops Basic Loose Short Sleeve Tshirts Solid Color Casual Blouse Tees with Pocket,1.08%,1.45%
Amazon.com,lunch box,14,B091CWVDC4,"Lunch Box for Men Women Adults Small Lunch Bag for Office Work School - Reusable Portable Lunchbox, Black",10.51%,14.82%,B07WVWSVL3,Insulated Lunch Bag for Women/Men - Reusable Lunch Box for Office Work School Picnic Beach - Leakproof Cooler Tote Bag Freezable Lunch Bag with Adjustable Shoulder Strap for Kids/Adult - Black,5.48%,6.76%,B07MXXP841,"Bento Box,MISS BIG Bento Box for Kids,Ideal Leak Proof Lunch Box Kids,Mom’s Choice Kids Lunch Box, No BPAs and No Chemical Dyes,Microwave and Dishwasher Safe Lunch Containers(White)",4.85%,2.50%
Amazon.com,wedding guest dresses for women,15,B09W2YZJ24,"Zalalus Summer Sexy Wedding Guest Dresses for Women One Shoulder Cutout Ruched Bodycon Sleeveless Maxi Cocktail Party Dress (Medium, Black)",3.45%,4.20%,B09W2ZV6F9,"Zalalus Summer Sexy Wedding Guest Dresses for Women One Shoulder Cutout Ruched Bodycon Sleeveless Maxi Cocktail Party Dress (Large, Black)",2.93%,4.35%,B09W2YTG5D,"Zalalus Summer Sexy Wedding Guest Dresses for Women One Shoulder Cutout Ruched Bodycon Sleeveless Maxi Cocktail Party Dress (X-Large, Black)",2.82%,3.79%
Amazon.com,crocs,16,B08BZ64HHP,Crocs Unisex-Adult Classic Clogs (Best Sellers),33.41%,50.23%,B09MJXNH9L,Crocs Unisex Men's and Women's Classic Lined Clog | Fuzzy Slippers,5.81%,4.67%,B08PMSL3Y1,Crocs Unisex-Child Kids' Classic Clog | Girls and Boy Shoes,4.93%,3.86%
Amazon.com,school supplies,17,B0852S4HWC,52 Piece Back to School Supply Kit for K-12 - Essentials Box of Supplies Bundle Value Pack for Students All Ages,9.59%,6.77%,B00P9U2EM8,"Mead Spiral Notebooks, 6 Pack, 1-Subject, College Ruled Paper, 10-1/2 x 8”, 70 Sheets per Notebook, Assorted Colors (73065)",5.95%,9.23%,B001CD9RRG,"BIC Xtra-Strong Thick Lead Mechanical Pencil, With Colorful Barrel Thick Point (0.9mm), 24-Count Pack, Mechanical Pencils With Erasers (Packaging May Vary)",5.24%,10.74%
Amazon.com,pencil pouch,18,B09WKDM8ZX,"Teskyer Big Capacity Pencil Case, Large Storage Pencil Pouch, Canvas Pencil Bag for Organize Markers Pens Stationery School Office Supplies, Light Blue",5.33%,3.51%,B08P48YL4G,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Pink),4.78%,3.93%,B08P4C57D8,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Black),4.71%,3.43%
Amazon.com,office chair,19,B07B7K7N3P,"Furmax Office Chair Mid Back Swivel Lumbar Support Desk Chair, Computer Ergonomic Mesh Chair with Armrest (Black)",8.91%,10.05%,B09PFX9F5T,"Desk Chair, Ergonomic Mesh Office Chair High Back Computer Chair with Adjustable Headrest,Lumbar Support, Tilt Function,Swivel Rolling, Soft PU Armrest Task Chair Home Office Desk Chairs",6.65%,8.27%,B081H3Y5NW,Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,5.19%,5.22%
Amazon.com,squishmallow,20,B0973F9PSK,"Squishmallows 14-Inch Cow Plush - Add Reshma to Your Squad, Ultrasoft Stuffed Animal Large Plush Toy, Official Kellytoy Plush",9.62%,7.71%,B09NB2BFNH,"Squishmallows 12-Inch Pancake Plush - Add Rayen to Your Squad, Ultrasoft Stuffed Animal Medium-Sized Plush Toy, Official Kellytoy Plush - Amazon Exclusive",4.54%,5.27%,B0973H4WFF,"Squishmallows 14-Inch Panda Plush - Add Sissy to Your Squad, Ultrasoft Stuffed Animal Large Plush Toy, Official Kellytoy Plush",3.72%,7.81%
Amazon.com,iphone,21,B07P6Y7954,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",7.57%,11.95%,B07ZPKF8RG,"Apple iPhone 11, 64GB, Purple - Fully Unlocked (Renewed)",6.73%,8.48%,B0775MV9K2,"Apple iPhone 8, US Version, 64GB, Space Gray - Unlocked (Renewed)",4.89%,11.62%
Amazon.com,car accessories,22,B097CB5WXB,Interior Car Lights Keepsmile Car Accessories Car Led Lights APP Control with Remote Music Sync Color Change RGB Under Dash Car Lighting with Car Charger 12V 2A LED Lights for Car (RGB),8.16%,7.19%,B07VGRVKSN,"HOTOR Car Trash Can with Lid and Storage Pockets, 100% Leak-Proof Car Organizer, Waterproof Car Garbage Can, Multipurpose Trash Bin for Car - Black",6.02%,7.31%,B00BYH6C1E,Drop Stop - The Original Patented Car Seat Gap Filler (AS SEEN ON Shark Tank) - Set of 2 and Slide Free Pad and Light,5.02%,5.94%
Amazon.com,shoe rack,23,B09D96GSWM,FIDUCIAL HOME 3 Tiers Shoe Rack 12-15 Pairs Sturdy Shoe Shelf,10.03%,12.48%,B0833XLHKZ,"Simple Trending 3-Tier Stackable Shoe Rack, Expandable & Adjustable Fabric Shoe Shelf Storage Organizer, Bronze",7.45%,9.76%,B09RF1CMB8,MADSOUKY Shoe Rack 8 Tiers DIY Narrow Stckable Free Standing Shoes Storage Tall Organizer Vertical Small Entryway Hallway Shelf,5.46%,2.70%
