Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
0,Home and Garden,air fryer,1,B07FDJMC9Q,"Ninja AF101 Air Fryer, 4 Qt, Black/gray",1,0.0647,0.0737
1,Home and Garden,air fryer,1,B07GJBBGHG,"COSORI ProI Air Fryer Oven Combo, 5.8QT Max Xl Large Cooker with 300+ Recipes, One-Touch Screen with 11 Presets and Shake Reminder, Nonstick and Dishwasher-Safe Detachable Square Basket, Black",2,0.0499,0.0569
2,Home and Garden,air fryer,1,B0936FGLQS,"COSORI Air Fryer, 5 QT, 9-in-1 Airfryer Compact Oilless Small Oven, Dishwasher-Safe, 450℉ freidora de aire, 30 Exclusive Recipes, Tempered Glass Display, Nonstick Basket, Quiet, Fit for 2-4 People",3,0.0494,0.0628
3,HPC,dildos,1,B07SZPVDY8,"Realistic Dildos Feels Like Skin, 7.3 Inch Clear Dildo with Suction Cup for Hands-Free Play, Body-Safe Material and Adult Sex Toys for Women",1,0.0956,0.1755
4,HPC,dildos,1,B00GGXW72O,"Adam & Eve Jelly Slim Dildo, Pink | 6” Long, 5.5” Insertable, 1” Wide | Realistic and Waterproof Anal Dildo | Compatible with Water Based Lube",2,0.0536,0.0156
5,HPC,dildos,1,B08JL9Z97C,"Realistic Dildo for Beginners Lifelike Huge Silicone Dildo, with Strong Suction Cup for Hands-Free Play, Realistic Penis for G-Spot Stimulation Dildos Anal Sex Toys for Women and Couple 7.7 ",3,0.0498,0.0877
6,Camera and Photo,surveillance & security cameras,1,B086DKSHQ4,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 3 camera kit",1,0.1237,0.0541
7,Camera and Photo,surveillance & security cameras,1,B086DL32R3,"Blink Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",2,0.1207,0.0811
8,Camera and Photo,surveillance & security cameras,1,B086DKGCFP,"Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection, set up in minutes – 5 camera kit",3,0.1097,0.0405
9,Gift Cards,amazon gift card,1,B07PCMWTSG,Amazon eGift Card - Amazon Logo,1,0.3539,0.2818
10,Gift Cards,amazon gift card,1,B07TMNGSN4,Amazon eGift Card - Birthday Cupcakes,2,0.1891,0.2429
11,Gift Cards,amazon gift card,1,B004LLIKVU,Amazon eGift Card - Amazon For All Occasions,3,0.044,0.0302
12,Toys,lego,1,B07JMHJZYN,"LEGO Marvel Avengers Iron Man Hall of Armor 76125 Building Kit Marvel Tony Stark Iron Man Suit Action Figures (524 Pieces), Standard, Multicolor",1,0.0239,0.0064
13,Toys,lego,1,B093YFKWYR,Space Exploration Shuttle Toys for 6 7 8 9 10 11 12 Year Old Boys Kids 12-in-1 STEM Aerospace Building Kit Toy with Heavy Transport Rocket and Launcher Best Gifts for 6-12 Year Old Kids (566 Pieces),2,0.0218,0.0247
14,Toys,lego,1,B08HW1L75J,"LEGO Flower Bouquet 10280 Building Kit; A Unique Flower Bouquet and Creative Project for Adults, New 2021 (756 Pieces)",3,0.0213,0.013
15,Electronics,tv,1,B08SWD2SCK,Amazon Fire TV 43 4-Series 4K UHD smart TV,1,0.0996,0.0848
16,Electronics,tv,1,B08SVZ775L,Amazon Fire TV 50 4-Series 4K UHD smart TV,2,0.0751,0.0637
17,Electronics,tv,1,B09WNJT9X3,"Hisense 50-inch ULED U6 Series Quantum Dot QLED 4K UHD Smart Fire TV (50U6HF, 2022 Model)",3,0.0581,0.0983
18,Alexa Skills,ring,1,B01JTL2PYE,Ring,1,0.9963,0
19,Alexa Skills,ring,1,B071G6LY8K,Mood Ring,2,0.0008,0
20,Alexa Skills,ring,1,B07V34PZRK,Dot Light Ring,3,0.0007,0
